forward,theta,analytic_delta,recovered_delta,delta_absolute_error,analytic_gamma,recovered_gamma,gamma_absolute_error
0.0318333333333,0.566944874195,0.666935820996,0.666935825971,4.97549612621e-09,24.5698317948,24.5698313483,4.46483767291e-07
0.0324444444444,0.575593726533,0.681786633709,0.681786638499,4.79022421729e-09,24.0271045757,24.0271044577,1.18042819963e-07
0.0330555555556,0.584146581528,0.696295580274,0.696295584877,4.60234239608e-09,23.4514813046,23.4514812527,5.19507317165e-08
0.0336666666667,0.592603798071,0.710443456762,0.710443461176,4.41374214954e-09,22.8459229308,22.8459227559,1.7491007398e-07
0.0342777777778,0.600965781794,0.724212899254,0.724212903479,4.22494217389e-09,22.2134861232,22.2134858287,2.94565246861e-07
0.0348888888889,0.609232982518,0.737588434551,0.73758843859,4.03853206432e-09,21.5572977578,21.5572977201,3.77605999802e-08
0.0355,0.617405891752,0.750556515277,0.750556519133,3.85610265941e-09,20.8805294256,20.8805292166,2.09090316616e-07
0.0361111111111,0.625485040239,0.76310553949,0.763105543168,3.67749952712e-09,20.1863722493,20.1863724147,1.65421639053e-07
0.0367222222222,0.633470995581,0.775225855062,0.775225858569,3.50734763455e-09,19.4780122827,19.4780121462,1.36494467284e-07
0.0373333333333,0.641364359908,0.786909749275,0.78690975262,3.3446460046e-09,18.7586067523,18.7586064051,3.47155921787e-07
0.0379444444444,0.649165767622,0.798151424214,0.798151427405,3.19174497942e-09,18.0312613806,18.0312611383,2.4234092777e-07
0.0385555555556,0.656875883204,0.808946958686,0.808946961736,3.04988034827e-09,17.2990090081,17.299008934,7.40497760887e-08
0.0391666666667,0.664495399095,0.81929425753,0.819294260451,2.92091828502e-09,16.5647897053,16.5647893359,3.69375289466e-07
0.0397777777778,0.672025033638,0.829192989259,0.829192992064,2.80558087873e-09,15.8314325429,15.8314325839,4.10818259411e-08
0.0403888888889,0.6794655291,0.838644513113,0.838644515818,2.70512579004e-09,15.1016391539,15.1016393298,1.75888656528e-07
0.041,0.686817649759,0.847651796642,0.847651799262,2.62051347288e-09,14.377969199,14.377969291,9.20199560994e-08
0.0416111111111,0.694082180063,0.856219325001,0.856219327554,2.55223320256e-09,13.6628278113,13.6628276835,1.27845027009e-07
0.0422222222222,0.701259922866,0.864353003204,0.864353005705,2.50092691001e-09,12.9584550712,12.9584549638,1.07460486731e-07
0.0428333333333,0.708351697725,0.872060052557,0.872060055025,2.4682949018e-09,12.2669175313,12.2669173881,1.4312783847e-07
0.0434444444444,0.715358339275,0.879348902546,0.879348905,2.45379971897e-09,11.5901017834,11.5901020479,2.64464299349e-07
0.0440555555556,0.722280695674,0.886229079414,0.886229081872,2.45748743577e-09,10.929710036,10.9297100296,6.41886543917e-09
0.0446666666667,0.729119627109,0.892711092622,0.892711095102,2.48006248871e-09,10.2872576418,10.2872572993,3.42578946544e-07
0.0452777777778,0.735876004379,0.898806320386,0.898806322908,2.52176157733e-09,9.66407249792,9.66407248091,1.70158376278e-08
0.0458888888889,0.742550707538,0.904526895394,0.904526897976,2.58238497253e-09,9.06129621632,9.0612963932,1.76873653501e-07
0.0465,0.749144624606,0.909885591741,0.909885594402,2.66056354725e-09,8.47988694983,8.4798868988,5.1028942849e-08
0.0471111111111,0.755658650339,0.914895714078,0.914895716836,2.75774691971e-09,7.92062374046,7.92062380649,6.60287815535e-08
0.0477222222222,0.762093685068,0.919570989831,0.919570992703,2.87195256465e-09,7.3841122478,7.38411246566,2.17862050178e-07
0.0483333333333,0.768450633591,0.923925465317,0.923925468321,3.00392488661e-09,6.87079170536,6.87079193997,2.346076311e-07
0.0489444444444,0.774730404131,0.927973406442,0.927973409594,3.15173043219e-09,6.38094294693,6.38094300755,6.06195609265e-08
0.0495555555556,0.78093390734,0.931729204585,0.9317292079,3.31517080454e-09,5.91469734177,5.91469728683,5.49374643555e-08
0.0501666666667,0.787062055373,0.935207288187,0.93520729168,3.49312956338e-09,5.47204647697,5.47204669728,2.20311277666e-07
0.0507777777778,0.793115760997,0.938422040437,0.938422044123,3.68603081391e-09,5.0528524267,5.05285283335,4.06657404639e-07
0.0513888888889,0.79909593677,0.941387723382,0.941387727273,3.89170740078e-09,4.65685845238,4.65685846949,1.71082819023e-08
0.052,0.805003494255,0.944118408657,0.944118412767,4.10943645779e-09,4.28369998374,4.28369996437,1.93745499644e-08
0.0526111111111,0.810839343287,0.946627914988,0.946627919326,4.33771951691e-09,3.93291573832,3.93291597649,2.38165580591e-07
0.0532222222222,0.81660439129,0.94892975249,0.948929757066,4.57622439942e-09,3.60395884634,3.60395901633,1.69992969923e-07
0.0538333333333,0.82229954263,0.951037073733,0.951037078555,4.82270479107e-09,3.29620785836,3.29620795885,1.00488444676e-07
0.0544444444444,0.827925698017,0.952962631478,0.952962636557,5.07831365848e-09,3.00897752453,3.00897768026,1.55728909323e-07
0.0550555555556,0.833483753944,0.954718742901,0.954718748241,5.34045452305e-09,2.7415292462,2.74152925415,7.95451393643e-09
0.0556666666667,0.838974602165,0.956317260075,0.956317265683,5.60850665909e-09,2.49308111359,2.49308125716,1.43570034083e-07
0.0562777777778,0.844399129211,0.957769546452,0.957769552333,5.88071180641e-09,2.2628174555,2.26281776763,3.12125743918e-07
0.0568888888889,0.84975821594,0.95908645901,0.959086465168,6.15788686709e-09,2.04989784015,2.04989799471,1.54563807087e-07
0.0575,0.855052737126,0.960278335718,0.960278342155,6.43715813986e-09,1.85346547836,1.8534658581,3.79734834688e-07
