maturity,theta,forward,time_derivative,phase_generator,residual
0.218888888889,-0.163103635293,-0.00822827655213,5.20656779537e-10,5.09312915909e-10,1.1343863628e-11
0.218888888889,-0.153085502837,-0.00771463409674,8.5427794261e-10,8.46113711279e-10,8.16423133084e-12
0.218888888889,-0.14306737038,-0.00720257714313,1.38880164268e-09,1.37692476211e-09,1.18768805648e-11
0.218888888889,-0.133049237923,-0.00669199603594,2.23756389379e-09,2.23758501919e-09,-2.11254016426e-14
0.218888888889,-0.123031105466,-0.00618278234193,3.57314689737e-09,3.567597729e-09,5.54916837084e-12
0.218888888889,-0.113012973009,-0.00567482875553,5.65646485327e-09,5.6585190358e-09,-2.05418253096e-12
0.218888888889,-0.102994840552,-0.00516802900634,8.87813129223e-09,8.87396742967e-09,4.16386255377e-12
0.218888888889,-0.092976708095,-0.00466227776851,1.38177944818e-08,1.3812464624e-08,5.32985779635e-12
0.218888888889,-0.0829585756381,-0.00415747057172,2.13284294978e-08,2.13265712518e-08,1.85824608106e-12
0.218888888889,-0.0729404431812,-0.00365350371365,3.26541385136e-08,3.26479831351e-08,6.15537844036e-12
0.218888888889,-0.0629223107243,-0.00315027417389,4.95939802748e-08,4.95836772769e-08,1.03029979228e-11
0.218888888889,-0.0529041782674,-0.00264767952885,7.47275923099e-08,7.47209792979e-08,6.61301201367e-12
0.218888888889,-0.0428860458105,-0.00214561786788,1.11722757182e-07,1.11720488474e-07,2.26870781766e-12
0.218888888889,-0.0328679133536,-0.00164398771014,1.65750756522e-07,1.65755402998e-07,-4.64647588931e-12
0.218888888889,-0.0228497808966,-0.0011426879223,2.44041942128e-07,2.44038514468e-07,3.42765972261e-12
0.218888888889,-0.0128316484397,-0.000641617636745,3.5662156573e-07,3.56611145471e-07,1.04202590549e-11
0.218888888889,-0.00281351598282,-0.000140676170333,5.17275023574e-07,5.1727640106e-07,-1.37748612282e-12
0.218888888889,0.00720461647409,0.000360237056607,7.44800665245e-07,7.44798885197e-07,1.78004735803e-12
0.218888888889,0.017222748931,0.000861222601068,1.06461999849e-06,1.06461937254e-06,6.25947981107e-13
0.218888888889,0.0272408813879,0.00136238107812,1.51082452587e-06,1.51083010894e-06,-5.58306576981e-12
0.218888888889,0.0372590138448,0.00186381324178,2.12874954768e-06,2.12874765865e-06,1.88903587817e-12
0.218888888889,0.0472771463017,0.00236562006609,2.97817385079e-06,2.97817016182e-06,3.68896891065e-12
0.218888888889,0.0572952787587,0.00286790282662,4.13724996479e-06,4.13725076268e-06,-7.97891915773e-13
0.218888888889,0.0673134112156,0.00337076318243,5.70727138576e-06,5.70727980251e-06,-8.41675160795e-12
0.218888888889,0.0773315436725,0.0038743032587,7.8183780603e-06,7.81838563196e-06,-7.57165743949e-12
0.218888888889,0.0873496761294,0.00437862573024,1.06362867226e-05,1.06362943419e-05,-7.61938951128e-12
0.218888888889,0.0973678085863,0.00488383390582,1.43701066217e-05,1.43701155669e-05,-8.94513654398e-12
0.218888888889,0.107385941043,0.0053900318137,1.92812589502e-05,1.92812630454e-05,-4.09520019892e-12
0.218888888889,0.1174040735,0.00589732428833,2.56934587701e-05,2.56934703926e-05,-1.1622459058e-11
0.218888888889,0.127422205957,0.00640581705854,3.40036356943e-05,3.40036495213e-05,-1.38269418837e-11
0.218888888889,0.137440338414,0.00691561683719,4.46935643198e-05,4.46935818569e-05,-1.75370587057e-11
0.218888888889,0.147458470871,0.00742683141263,5.83418439078e-05,5.83418603187e-05,-1.64109072807e-11
0.218888888889,0.157476603328,0.00793956974201,7.5635709619e-05,7.56357367022e-05,-2.70832470762e-11
0.218888888889,0.167494735785,0.0084539420467,9.73819779246e-05,9.73820091428e-05,-3.1218172375e-11
0.218888888889,0.177512868242,0.0089700599099,0.000124516229871,0.00012451625925,-2.93790108344e-11
0.218888888889,0.187531000699,0.0094880363768,0.00015810912927,0.000158109172467,-4.3197507393e-11
0.218888888889,0.197549133155,0.0100079860572,0.000199368567764,0.000199368616537,-4.87725654948e-11
0.218888888889,0.207567265612,0.0105300252314,0.000249636146658,0.000249636208537,-6.18792168655e-11
0.218888888889,0.217585398069,0.0110542719582,0.000310376366127,0.000310376437794,-7.16678854934e-11
0.218888888889,0.227603530526,0.0115808461875,0.000383156822539,0.000383156902426,-7.98863212994e-11
0.218888888889,0.237621662983,0.0121098698755,0.000469617746674,0.000469617834535,-8.7860715231e-11
0.218888888889,0.24763979544,0.0126414671037,0.0005714293785,0.000571429481686,-1.03186895118e-10
0.218888888889,0.257657927897,0.0131757642024,0.0006902360015,0.000690236117016,-1.15515742805e-10
0.218888888889,0.267676060354,0.0137128898779,0.000827585977658,0.000827586104014,-1.26356063958e-10
0.218888888889,0.277694192811,0.0142529753449,0.000984847852285,0.000984847985785,-1.33500230402e-10
0.218888888889,0.287712325268,0.0147961544633,0.0011631135423,0.00116311368581,-1.43515567919e-10
0.218888888889,0.297730457725,0.0153425638804,0.00136309077039,0.00136309091893,-1.48537781684e-10
0.218888888889,0.307748590181,0.0158923431784,0.00158498822572,0.00158498837609,-1.50367143216e-10
0.218888888889,0.317766722638,0.0164456350284,0.00182839835698,0.00182839850637,-1.4938886933e-10
0.218888888889,0.327784855095,0.0170025853497,0.00209218414426,0.00209218428584,-1.41577930803e-10
0.218888888889,0.337802987552,0.0175633434769,0.00237437753142,0.00237437766545,-1.3402578743e-10
0.218888888889,0.347821120009,0.0181280623329,0.00267209828078,0.00267209839492,-1.1413854974e-10
0.218888888889,0.357839252466,0.0186968986103,0.00298150267405,0.00298150276895,-9.48968113292e-11
0.218888888889,0.367857384923,0.0192700129608,0.00329777155262,0.00329777161772,-6.51039448046e-11
0.218888888889,0.37787551738,0.0198475701924,0.00361514650661,0.00361514653939,-3.27728660182e-11
0.218888888889,0.387893649837,0.0204297394763,0.00392702145679,0.00392702145338,3.41325231967e-12
0.218888888889,0.397911782294,0.0210166945635,0.00422609435135,0.00422609429945,5.18977543232e-11
0.218888888889,0.407929914751,0.0216086140109,0.00450458022886,0.00450458013161,9.7256629833e-11
0.218888888889,0.417948047208,0.0222056814195,0.00475448258433,0.00475448244675,1.37584122914e-10
0.218888888889,0.427966179664,0.022808085683,0.00496791504162,0.00496791485587,1.85752810702e-10
0.218888888889,0.437984312121,0.0234160212496,0.00513746012245,0.00513745989674,2.25714459276e-10
0.218888888889,0.448002444578,0.0240296883965,0.00525654686226,0.0052565466119,2.50361936044e-10
0.218888888889,0.458020577035,0.0246492935189,0.00531982468806,0.00531982439779,2.90264519018e-10
0.218888888889,0.468038709492,0.0252750494334,0.00532350791297,0.00532350760136,3.11616600579e-10
0.218888888889,0.478056841949,0.0259071756975,0.00526566395943,0.0052656636455,3.13930813636e-10
0.218888888889,0.488074974406,0.0265458989466,0.00514641944581,0.00514641914102,3.04791258204e-10
0.218888888889,0.498093106863,0.0271914532482,0.00496806182622,0.00496806153779,2.88434091715e-10
0.218888888889,0.50811123932,0.0278440804762,0.00473502038788,0.0047350201041,2.83783331903e-10
0.218888888889,0.518129371777,0.0285040307055,0.0044537188067,0.00445371855672,2.49983257185e-10
0.218888888889,0.528147504234,0.0291715626291,0.00413230155295,0.00413230136308,1.89873377437e-10
0.218888888889,0.53816563669,0.0298469439978,0.00378024733594,0.00378024717568,1.60260659344e-10
0.218888888889,0.548183769147,0.0305304520865,0.00340789337246,0.00340789328138,9.10848722835e-11
0.218888888889,0.558201901604,0.0312223741863,0.00302590333925,0.00302590327671,6.25389419071e-11
0.218888888889,0.568220034061,0.0319230081263,0.00264471825431,0.00264471825435,-4.17626003224e-14
0.218888888889,0.578238166518,0.0326326628259,0.0022740322686,0.00227403232108,-5.24790115877e-11
0.218888888889,0.588256298975,0.0333516588807,0.00192233386237,0.00192233393805,-7.56775477787e-11
0.218888888889,0.598274431432,0.0340803291834,0.0015965471608,0.00159654727136,-1.10567350414e-10
0.218888888889,0.608292563889,0.034819019584,0.00130179850406,0.00130179866065,-1.56591241493e-10
0.218888888889,0.618310696346,0.0355680895896,0.00104132107076,0.00104132123082,-1.60060809875e-10
0.218888888889,0.628328828803,0.0363279131098,0.000816496723392,0.000816496886226,-1.62833660618e-10
0.218888888889,0.63834696126,0.0370988792486,0.000627021017503,0.00062702117162,-1.54116999111e-10
0.218888888889,0.648365093716,0.0378813931477,0.000471166160393,0.000471166301112,-1.40719065523e-10
0.218888888889,0.658383226173,0.038675876885,0.000346109003332,0.000346109112321,-1.08988889962e-10
0.218888888889,0.66840135863,0.0394827704322,0.000248287771454,0.00024828788979,-1.18335961256e-10
0.218888888889,0.678419491087,0.0403025326764,0.000173752383523,0.000173752468113,-8.45899875753e-11
0.218888888889,0.688437623544,0.0411356425112,0.000118478413261,0.000118478478396,-6.51356071944e-11
0.218888888889,0.698455756001,0.041982600002,7.86229360783e-05,7.86230025679e-05,-6.6489615029e-11
0.218888888889,0.708473888458,0.0428439276322,5.07102423941e-05,5.07102876342e-05,-4.52400586611e-11
